Sector,Calendar Year,Budget Year,Indicator,Source,Calendar Value,Budget Value,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Unit
Economy,,2013-2014,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,"1,190",,,,,,,,,,,,,USD
Economy,,2014-2015,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,"1,316",,,,,,,,,,,,,USD
Economy,,2015-2016,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,"1,465",,,,,,,,,,,,,USD
Economy,,2016-2017,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,"1,610",,,,,,,,,,,,,USD
Economy,,2017-2018,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,"1,751",,,,,,,,,,,,,USD
Economy,,2018-2019,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,"1,909",,,,,,,,,,,,,USD
Economy,,2009-2010,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,22%,,,,,,,,,,,,,Percentage
Economy,,2010-2011,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,22%,,,,,,,,,,,,,Percentage
Economy,,2011-2012,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,22.5%,,,,,,,,,,,,,Percentage
Economy,,2012-2013,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,22%,,,,,,,,,,,,,Percentage
Economy,,2013-2014,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,22%,,,,,,,,,,,,,Percentage
Economy,,2014-2015,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,22%,,,,,,,,,,,,,Percentage
Economy,,2015-2016,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,23%,,,,,,,,,,,,,Percentage
Economy,,2016-2017,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,23.1%,,,,,,,,,,,,,Percentage
Economy,,2017-2018,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,23%,,,,,,,,,,,,,Percentage
Economy,,2018-2019,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,23.4%,,,,,,,,,,,,,Percentage
Economy,,2019-2020,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,22%,,,,,,,,,,,,,Percentage
Economy,,2020-2021,Private Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,21%,,,,,,,,,,,,,Percentage
Economy,2019,,Private Sector Credit Growth (%),Bangladesh Bank,,,13.20%,12.54%,12.42%,12.07%,12.16%,11.29%,11.26%,10.68%,10.66%,10.04%,9.87%,9.83%,Percentage
Economy,2018,,Private Sector Credit Growth (%),Bangladesh Bank,,,18.36%,18.49%,17.98%,17.65%,17.60%,16.94%,15.87%,14.95%,14.67%,14.70%,14.01%,13.20%,Percentage
Economy,2020,,Private Sector Credit Growth (%),Bangladesh Bank,,,9.20%,9.13%,8.87%,8.83%,8.86%,8.61%,9.20%,9.36%,9.48%,8.61%,8.21%,8.37%,Percentage
Economy,2017,,Private Sector Credit Growth (%),Bangladesh Bank,,,15.61%,15.88%,16.06%,16.21%,16.03%,15.66%,16.94%,17.84%,17.80%,18.63%,19.06%,18.13%,Percentage
Economy,2016,,Private Sector Credit Growth (%),Bangladesh Bank,,,,15.10%,15.20%,15.60%,16.40%,16.60%,16.00%,16.20%,15.30%,15.20%,15.00%,15.55%,Percentage
Economy,2013,,Private Sector Credit Growth (%),Bangladesh Bank,,,,,12.72%,12.68%,11.43%,11.04%,11.61%,11.33%,11.07%,11.04%,11.13%,11.60%,Percentage
Economy,2014,,Private Sector Credit Growth (%),Bangladesh Bank,,,11.08%,10.73%,11.46%,,,,,,,,,,Percentage
Economy,2021,,Private Sector Credit Growth (%),Bangladesh Bank,,,8.32%,8.93%,8.79%,8.29%,7.55%,8.35%,8.38%,8.42%,8.77%,9.44%,,,Percentage
Economy,,2009-2010,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,5%,,,,,,,,,,,,,Percentage
Economy,,2010-2011,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,5%,,,,,,,,,,,,,Percentage
Economy,,2011-2012,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,6%,,,,,,,,,,,,,Percentage
Economy,,2012-2013,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,7%,,,,,,,,,,,,,Percentage
Economy,,2013-2014,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,7%,,,,,,,,,,,,,Percentage
Economy,,2014-2015,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,7%,,,,,,,,,,,,,Percentage
Economy,,2015-2016,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,7%,,,,,,,,,,,,,Percentage
Economy,,2016-2017,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,7%,,,,,,,,,,,,,Percentage
Economy,,2017-2018,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,8%,,,,,,,,,,,,,Percentage
Economy,,2018-2019,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,8%,,,,,,,,,,,,,Percentage
Economy,,2019-2020,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,8%,,,,,,,,,,,,,Percentage
Economy,,2020-2021,Public Investment to GDP Ratio (%),Bangladesh Bureau of Statistics (BBS),,9%,,,,,,,,,,,,,Percentage
Economy,2020,,Remittance,Bangladesh Bank,,,1.63,1.45,1.28,1.08,1.50,1.83,2.59,1.96,2.15,2.11,2.07,2.1,Billion USD
Economy,2019,,Remittance,Bangladesh Bank,,,1.60,1.32,1.46,1.43,1.76,1.37,1.59,1.44,1.47,1.64,1.56,1.69,Billion USD
Economy,2018,,Remittance,Bangladesh Bank,,,1.38,1.15,1.30,1.33,1.50,1.38,1.32,1.14,1.14,1.24,1.18,1.21,Billion USD
Economy,2017,,Remittance,Bangladesh Bank,,,1.00,0.94,1.08,1.09,1.27,1.21,1.12,1.42,0.86,1.24,1.21,1.16,Billion USD
Economy,2011,,Remittance,Bangladesh Bank,12.17,,,,,,,,,,,,,,Billion USD
Economy,2016,,Remittance,Bangladesh Bank,,,1.15,1.14,1.29,1.19,1.21,,1.01,1.18,1.06,1.01,0.95,0.96,Billion USD
Economy,2015,,Remittance,Bangladesh Bank,,,1.24,1.19,1.34,1.30,1.32,1.44,1.39,1.20,1.35,1.10,1.14,1.27,Billion USD
Economy,,2010-2011,Remittance,Bangladesh Bank,,11.65,,,,,,,,,,,,,Billion USD
Economy,,2011-2012,Remittance,Bangladesh Bank,,12.83,,,,,,,,,,,,,Billion USD
Economy,,2012-2013,Remittance,Bangladesh Bank,,14.46,,,,,,,,,,,,,Billion USD
Economy,,2013-2014,Remittance,Bangladesh Bank,,14.23,,,,,,,,,,,,,Billion USD
Economy,,2014-2015,Remittance,Bangladesh Bank,,15.32,,,,,,,,,,,,,Billion USD
Economy,,2015-2016,Remittance,Bangladesh Bank,,14.93,,,,,,,,,,,,,Billion USD
Economy,,2016-2017,Remittance,Bangladesh Bank,,12.76,,,,,,,,,,,,,Billion USD
Economy,,2017-2018,Remittance,Bangladesh Bank,,14.98,,,,,,,,,,,,,Billion USD
Economy,,2018-2019,Remittance,Bangladesh Bank,,16.52,,,,,,,,,,,,,Billion USD
Economy,,2019-2020,Remittance,Bangladesh Bank,,18.21,,,,,,,,,,,,,Billion USD
Economy,,2000-2001,Remittance,Bangladesh Bank,,1.882,,,,,,,,,,,,,Billion USD
Economy,,2001-2002,Remittance,Bangladesh Bank,,2.50,,,,,,,,,,,,,Billion USD
Economy,,2002-2003,Remittance,Bangladesh Bank,,3.06,,,,,,,,,,,,,Billion USD
Economy,,2003-2004,Remittance,Bangladesh Bank,,3.37,,,,,,,,,,,,,Billion USD
Economy,,2004-2005,Remittance,Bangladesh Bank,,3.84,,,,,,,,,,,,,Billion USD
Economy,,2005-2006,Remittance,Bangladesh Bank,,4.80,,,,,,,,,,,,,Billion USD
Economy,,2006-2007,Remittance,Bangladesh Bank,,5.99,,,,,,,,,,,,,Billion USD
Economy,,2007-2008,Remittance,Bangladesh Bank,,7.91,,,,,,,,,,,,,Billion USD
Economy,,2008-2009,Remittance,Bangladesh Bank,,9.68,,,,,,,,,,,,,Billion USD
Economy,,2009-2010,Remittance,Bangladesh Bank,,10.98,,,,,,,,,,,,,Billion USD
Economy,2012,,Remittance,Bangladesh Bank,,,,,,,,,1.20,1.18,1.18,1.45,1.10,1.29,Billion USD
Economy,2013,,Remittance,Bangladesh Bank,,,1.33,1.16,1.23,1.19,1.09,1.06,1.24,1.01,1.03,1.23,1.06,1.21,Billion USD
Economy,2014,,Remittance,Bangladesh Bank,,,1.26,1.17,1.29,1.23,,,1.49,1.17,1.34,1.01,1.18,1.27,Billion USD
Economy,2020,,Remittance,Bangladesh Bank,21.74,,,,,,,,,,,,,,Billion USD
Economy,,2020-2021,Remittance,Bangladesh Bank,,24.78,,,,,,,,,,,,,Billion USD
Economy,2012,,Remittance,Bangladesh Bank,14.17,,,,,,,,,,,,,,Billion USD
Economy,2013,,Remittance,Bangladesh Bank,13.83,,,,,,,,,,,,,,Billion USD
Economy,2014,,Remittance,Bangladesh Bank,14.94,,,,,,,,,,,,,,Billion USD
Economy,2015,,Remittance,Bangladesh Bank,15.31,,,,,,,,,,,,,,Billion USD
Economy,2016,,Remittance,Bangladesh Bank,13.61,,,,,,,,,,,,,,Billion USD
Economy,2017,,Remittance,Bangladesh Bank,13.53,,,,,,,,,,,,,,Billion USD
Economy,2018,,Remittance,Bangladesh Bank,15.54,,,,,,,,,,,,,,Billion USD
Economy,2019,,Remittance,Bangladesh Bank,18.32,,,,,,,,,,,,,,Billion USD
Economy,2021,,Remittance,Bangladesh Bank,,,1.96,1.78,1.91,2.07,2.17,1.94,1.87,1.81,1.73,1.65,1.55,,Billion USD
Economy,,2019-2020,Remittance from Bahrain,Bangladesh Bank,,437.18,,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Bahrain,Bangladesh Bank,,577.74,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Bahrain,Bangladesh Bank,,470.08,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Bahrain,Bangladesh Bank,,541.62,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Bahrain,Bangladesh Bank,,437.14,,,,,,,,,,,,,Million USD
Economy,2020,,Remittance from Bahrain,Bangladesh Bank,,,,,,,,,60.71,46.23,52.95,45.00,47.90,50.69,Million USD
Economy,2021,,Remittance from Bahrain,Bangladesh Bank,,,47.11,40.50,44.69,45.32,50.00,46.64,46.26,45.71,43.51,40.59,,,Million USD
Economy,,2009-2010,Remittance from Bahrain,Bangladesh Bank,,170.14,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Bahrain,Bangladesh Bank,,185.93,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Bahrain,Bangladesh Bank,,298.46,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Bahrain,Bangladesh Bank,,361.70,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Bahrain,Bangladesh Bank,,459.39,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Bahrain,Bangladesh Bank,,554.34,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Bahrain,Bangladesh Bank,,486.57,,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Germany,Bangladesh Bank,,66.89,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Remittance from Germany,Bangladesh Bank,,52.75,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Germany,Bangladesh Bank,,60.62,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Germany,Bangladesh Bank,,40.20,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Germany,Bangladesh Bank,,31.75,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from Germany,Bangladesh Bank,,16.50,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Germany,Bangladesh Bank,,25.64,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Germany,Bangladesh Bank,,34.99,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Germany,Bangladesh Bank,,25.81,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Germany,Bangladesh Bank,,26.94,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Germany,Bangladesh Bank,,21.16,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Germany,Bangladesh Bank,,26.13,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Japan,Bangladesh Bank,,31.44,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Japan,Bangladesh Bank,,22.89,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Japan,Bangladesh Bank,,22.67,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Japan,Bangladesh Bank,,49.54,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Remittance from Japan,Bangladesh Bank,,49.35,,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Japan,Bangladesh Bank,,79.54,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from Japan,Bangladesh Bank,,14.74,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Japan,Bangladesh Bank,,15.21,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Japan,Bangladesh Bank,,22.16,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Japan,Bangladesh Bank,,21.18,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Japan,Bangladesh Bank,,17.06,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Japan,Bangladesh Bank,,16.30,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Remittance from Kuwait,Bangladesh Bank,,"1,372.24",,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Kuwait,Bangladesh Bank,,1886.50,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Kuwait,Bangladesh Bank,,1463.35,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Kuwait,Bangladesh Bank,,1199.70,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Kuwait,Bangladesh Bank,,1033.31,,,,,,,,,,,,,Million USD
Economy,2020,,Remittance from Kuwait,Bangladesh Bank,,,,,,,,,173.07,136.75,156.54,155.18,154.51,163.26,Million USD
Economy,2021,,Remittance from Kuwait,Bangladesh Bank,,,164.16,148.23,159.45,162.33,158.74,154.28,148.84,152.63,140.58,131.15,,,Million USD
Economy,,2009-2010,Remittance from Kuwait,Bangladesh Bank,,1019.18,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Kuwait,Bangladesh Bank,,1075.75,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Kuwait,Bangladesh Bank,,1190.14,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Kuwait,Bangladesh Bank,,1186.93,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Kuwait,Bangladesh Bank,,1106.88,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Kuwait,Bangladesh Bank,,1077.78,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Kuwait,Bangladesh Bank,,1037.79,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Remittance from Malaysia,Bangladesh Bank,,"1,231.30",,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from Malaysia,Bangladesh Bank,,587.09,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Malaysia,Bangladesh Bank,,703.73,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Malaysia,Bangladesh Bank,,847.49,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Malaysia,Bangladesh Bank,,997.43,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Malaysia,Bangladesh Bank,,1064.68,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Malaysia,Bangladesh Bank,,1381.53,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Malaysia,Bangladesh Bank,,1324.22,,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Malaysia,Bangladesh Bank,,2002.36,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Malaysia,Bangladesh Bank,,1197.63,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Malaysia,Bangladesh Bank,,1107.21,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Malaysia,Bangladesh Bank,,1103.62,,,,,,,,,,,,,Million USD
Economy,2020,,Remittance from Malaysia,Bangladesh Bank,,,,,,,,,235.57,196.31,175.36,187.31,188.51,163.63,Million USD
Economy,2021,,Remittance from Malaysia,Bangladesh Bank,,,139.31,143.72,131.27,162.81,173.13,105.43,110.77,96.24,83.85,82.01,,,Million USD
Economy,,2019-2020,Remittance from Oman,Bangladesh Bank,,"1,240.54",,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Oman,Bangladesh Bank,,1535.64,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Oman,Bangladesh Bank,,1066.06,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Oman,Bangladesh Bank,,958.19,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Oman,Bangladesh Bank,,897.71,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from Oman,Bangladesh Bank,,349.08,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Oman,Bangladesh Bank,,334.31,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Oman,Bangladesh Bank,,400.93,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Oman,Bangladesh Bank,,610.11,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Oman,Bangladesh Bank,,701.08,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Oman,Bangladesh Bank,,915.26,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Oman,Bangladesh Bank,,911.42,,,,,,,,,,,,,Million USD
Economy,2020,,Remittance from Oman,Bangladesh Bank,,,,,,,,,198.18,134.57,153.25,155.91,128.08,99.51,Million USD
Economy,2021,,Remittance from Oman,Bangladesh Bank,,,106.53,88.59,106.28,111.98,134.22,118.54,110.02,99.83,81.69,65.01,,,Million USD
Economy,,2019-2020,Remittance from Qatar,Bangladesh Bank,,"1,019.60",,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Qatar,Bangladesh Bank,,1450.18,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Qatar,Bangladesh Bank,,1023.91,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Qatar,Bangladesh Bank,,844.06,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Qatar,Bangladesh Bank,,576.02,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from Qatar,Bangladesh Bank,,360.91,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Qatar,Bangladesh Bank,,319.36,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Qatar,Bangladesh Bank,,335.26,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Qatar,Bangladesh Bank,,286.89,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Qatar,Bangladesh Bank,,257.53,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Qatar,Bangladesh Bank,,310.15,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Qatar,Bangladesh Bank,,431.57,,,,,,,,,,,,,Million USD
Economy,2020,,Remittance from Qatar,Bangladesh Bank,,,,,,,,,127.67,102.04,116.81,102.82,112.50,112.40,Million USD
Economy,2021,,Remittance from Qatar,Bangladesh Bank,,,113.21,110.65,118.40,138.97,144.99,149.72,120.47,126.09,109.76,106.91,,,Million USD
Economy,,2019-2020,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,"4,015.16",,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,"2,590",,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,3110.40,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,2267.22,,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,5721.41,,,,,,,,,,,,,Million USD
Economy,2021,,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,,464.08,399.78,426.18,438.05,476.10,449.97,462.38,432.28,409.47,395.68,,,Million USD
Economy,2020,,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,,321,309,287,278,380,486,632.60,450.58,530.93,499.71,470.99,482.44,Million USD
Economy,,2009-2010,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,3427.05,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,3290.03,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,3684.36,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,3829.45,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,3118.88,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,3345.23,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Saudi Arabia (KSA),Bangladesh Bank,,2960.13,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Remittance from Singapore,Bangladesh Bank,,457.40,,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from Singapore,Bangladesh Bank,,624.86,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from Singapore,Bangladesh Bank,,368.33,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from Singapore,Bangladesh Bank,,330.16,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from Singapore,Bangladesh Bank,,300.99,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from Singapore,Bangladesh Bank,,193.46,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from Singapore,Bangladesh Bank,,202.33,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from Singapore,Bangladesh Bank,,311.46,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from Singapore,Bangladesh Bank,,498.79,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from Singapore,Bangladesh Bank,,429.11,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from Singapore,Bangladesh Bank,,443.44,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from Singapore,Bangladesh Bank,,389.17,,,,,,,,,,,,,Million USD
Economy,2020,,Remittance from Singapore,Bangladesh Bank,,,,,,,,,82.81,60.16,46.09,46.70,57.57,51.19,Million USD
Economy,2021,,Remittance from Singapore,Bangladesh Bank,,,50.75,43.46,42.73,46.37,53.47,43.56,37.87,37.7,36.06,32.07,,,Million USD
Economy,,2020-2021,Remittance from South Korea,Bangladesh Bank,,209.16,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Remittance from South Korea,Bangladesh Bank,,177.83,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from South Korea,Bangladesh Bank,,112.51,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from South Korea,Bangladesh Bank,,96.29,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from South Korea,Bangladesh Bank,,80.65,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from South Korea,Bangladesh Bank,,20.77,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from South Korea,Bangladesh Bank,,23.95,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from South Korea,Bangladesh Bank,,30.05,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from South Korea,Bangladesh Bank,,61.77,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Remittance from UAE,Bangladesh Bank,,"2,472.56",,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from UAE,Bangladesh Bank,,2540.41,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from UAE,Bangladesh Bank,,2429.96,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from UAE,Bangladesh Bank,,2093.54,,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from UAE,Bangladesh Bank,,2439.99,,,,,,,,,,,,,Million USD
Economy,2020,,Remittance from UAE,Bangladesh Bank,,,213,192,159,160,196,213,284.28,235.63,231.54,215.39,211.16,195.11,Million USD
Economy,2021,,Remittance from UAE,Bangladesh Bank,,,183.65,152.33,170.07,181.99,198.81,180.03,159.18,155.36,131.76,122.54,,,Million USD
Economy,,2015-2016,Remittance from UAE,Bangladesh Bank,,2714.97,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from UAE,Bangladesh Bank,,2823.77,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from UAE,Bangladesh Bank,,2684.86,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from UAE,Bangladesh Bank,,2829.40,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from UAE,Bangladesh Bank,,2404.78,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from UAE,Bangladesh Bank,,2002.63,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from UAE,Bangladesh Bank,,1890.31,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Remittance from UK,Bangladesh Bank,,"1,364.89",,,,,,,,,,,,,Million USD
Economy,,2020-2021,Remittance from UK,Bangladesh Bank,,2023.62,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Remittance from UK,Bangladesh Bank,,1175.63,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Remittance from UK,Bangladesh Bank,,1106.01,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Remittance from UK,Bangladesh Bank,,808.16,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Remittance from UK,Bangladesh Bank,,827.51,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Remittance from UK,Bangladesh Bank,,889.6,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Remittance from UK,Bangladesh Bank,,987.46,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Remittance from UK,Bangladesh Bank,,991.59,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Remittance from UK,Bangladesh Bank,,901.23,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Remittance from UK,Bangladesh Bank,,812.34,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Remittance from UK,Bangladesh Bank,,862.12,,,,,,,,,,,,,Million USD
Economy,2021,,Remittance from UK,Bangladesh Bank,,,153.70,161.19,181.32,183.58,179.77,144.09,159.38,145.85,146.78,143.34,,,Million USD
